from,to,cost
33,33,0.0
33,15,4123.8
33,17,5179.6
33,12,7245.5
33,174,4785.1
33,23,5662.4
33,124,5398.7
33,165,5413.2
33,170,7767.2
33,134,5852.6
33,133,5771.0
33,49,7556.0
33,139,10621.1
33,5,3252.7
33,4,5087.5
33,3,3764.2
33,191,6058.4
33,192,4372.5
33,193,6759.7
33,195,6319.5
33,187,9247.8
33,188,6677.8
33,161,7183.0
33,160,8743.0
33,162,7813.9
33,157,8323.1
33,159,10088.1
33,155,10145.7
33,154,8891.1
33,128,9322.3
33,38,4318.4
33,101,5141.3
33,129,8869.0
33,147,9688.6
33,48,5284.4
33,144,352.6
33,80,5874.7
33,136,2365.5
33,184,7042.5
33,183,9363.9
33,135,7771.1
33,123,8476.4
33,1,8635.9
33,2,10455.4
33,177,9351.5
33,28,9976.1
33,64,6312.3
33,65,6094.4
33,198,9599.5
33,16,2545.7
33,196,3257.0
33,138,1980.1
33,166,3312.9
33,29,8151.0
33,30,4240.3
33,91,2691.2
33,93,1396.2
33,6,2444.6
15,33,874.5
15,15,0.0
15,17,6054.2
15,12,8120.2
15,174,5659.7
15,23,6537.1
15,124,6273.4
15,165,6287.9
15,170,8641.9
15,134,6727.3
15,133,6645.7
15,49,8430.7
15,5,4127.4
15,4,5962.1
15,3,4638.8
15,191,6933.0
15,192,5247.2
15,193,7634.4
15,195,7194.2
15,187,10122.5
15,188,7552.4
15,161,8057.7
15,160,9617.7
15,162,8688.6
15,157,9197.7
15,154,9765.8
15,128,10197.0
15,38,5193.1
15,101,6016.0
15,129,9743.7
15,48,6159.1
15,144,1227.3
15,80,6749.3
15,136,3240.2
15,184,7917.2
15,135,8645.7
15,123,9351.0
15,1,9510.6
15,177,10226.2
15,64,7186.9
15,65,6969.0
15,198,10474.2
15,16,3420.3
15,196,4131.6
15,138,2854.8
15,166,4187.6
15,29,9025.7
15,30,5115.0
15,91,3565.9
15,93,2270.8
15,6,3319.3
17,33,5082.2
17,15,4207.7
17,17,0.0
17,12,2352.8
17,174,9770.8
17,170,9261.1
17,56,9335.2
17,49,7635.9
17,139,8263.4
17,5,8308.8
17,4,3871.1
17,3,5638.6
17,191,3046.3
17,192,4543.8
17,193,2333.6
17,195,1139.9
17,187,4139.4
17,188,1569.3
17,161,2074.6
17,160,3634.6
17,163,5479.0
17,162,2705.5
17,157,3214.6
17,159,4979.7
17,155,5037.3
17,154,3782.7
17,127,6464.6
17,128,4213.9
17,97,5256.6
17,96,7734.2
17,94,7086.9
17,38,9208.1
17,101,10223.8
17,129,7101.8
17,147,7921.5
17,109,9353.8
17,119,9695.3
17,144,5435.1
17,57,8716.8
17,80,695.0
17,74,9329.8
17,136,7448.0
17,184,7050.4
17,183,9360.6
17,135,7841.4
17,123,8232.9
17,1,8660.9
17,177,9376.5
17,198,4491.1
17,206,6189.0
17,19,7585.5
17,20,10271.6
17,22,9461.8
17,39,8399.0
17,16,7628.1
17,196,8339.4
17,138,7062.6
17,166,8395.4
17,30,9322.8
17,91,7773.7
17,93,6478.6
17,6,7527.1
12,33,3412.6
12,15,2538.0
12,17,2447.2
12,12,0.0
12,174,8197.9
12,23,9075.2
12,124,8811.5
12,165,8826.1
12,170,7686.9
12,134,9265.4
12,133,9183.8
12,56,8521.1
12,49,6061.8
12,139,7948.0
12,5,6665.5
12,4,2201.5
12,3,3969.0
12,191,1376.7
12,192,2874.1
12,193,664.0
12,195,2091.5
12,187,4990.1
12,188,2420.1
12,161,2925.3
12,160,4485.3
12,163,6329.7
12,162,3556.2
12,157,4065.4
12,159,5830.4
12,155,5888.1
12,154,4633.4
12,127,7315.4
12,128,5064.6
12,97,6107.3
12,96,8584.9
12,94,7937.6
12,38,7633.9
12,101,8554.1
12,129,6637.1
12,147,7456.7
12,48,8697.2
12,109,9038.5
12,119,10546.0
12,144,3765.5
12,57,9567.5
12,80,1646.7
12,74,10180.5
12,136,5778.3
12,184,5476.2
12,183,7786.4
12,135,6267.3
12,123,6658.8
12,1,7086.7
12,2,9574.4
12,177,7802.3
12,28,9013.2
12,7,9593.1
12,64,9725.1
12,65,9507.2
12,198,5341.9
12,206,7039.7
12,19,8436.3
12,20,11122.3
12,22,10312.5
12,39,9249.7
12,16,5958.5
12,196,6669.8
12,138,5392.9
12,166,6725.7
12,30,7653.1
12,91,6104.1
12,93,4809.0
12,6,5857.4
53,53,0.0
53,56,8962.6
53,49,8139.6
53,139,6326.5
53,25,5082.9
53,112,3633.4
53,110,7514.3
53,117,8752.7
53,116,5784.5
53,115,8713.0
53,114,2785.5
53,24,3962.6
53,169,2242.3
53,167,5411.0
53,168,2777.4
53,173,3936.7
53,171,4263.8
53,202,5893.8
53,203,9966.7
53,78,9364.6
53,79,8220.2
53,106,7626.4
53,120,4337.9
53,125,1966.1
53,37,5961.1
53,95,2672.4
53,140,7183.4
53,143,4374.2
53,129,6591.5
53,147,7411.2
53,194,6111.3
53,145,7366.4
53,109,7687.3
53,51,5377.7
53,132,6418.8
53,108,6522.0
53,107,9648.3
53,55,6741.0
53,11,6650.4
53,183,7738.5
53,135,9592.6
53,123,8185.8
53,1,7284.7
53,2,8636.0
53,177,8000.2
53,27,7477.3
53,28,9203.5
53,92,7627.5
53,46,8458.7
53,7,8668.8
53,85,6893.3
53,20,10913.3
53,22,10103.5
53,0,6433.1
53,142,5313.1
53,13,3437.3
53,111,7019.7
53,42,5847.5
53,61,9958.1
53,54,6175.6
53,58,2575.8
