from,to,cost
0,0,0.0
1,1,0.0
2,2,0.0
2,4,5108.4
2,8,7401.1
2,13,10961.1
2,16,8360.4
2,19,5430.2
2,41,2475.9
2,43,8261.5
2,50,8600.0
2,58,8998.5
2,72,1744.0
2,88,9574.0
2,97,2732.5
2,99,6860.5
2,102,3844.4
2,131,6059.5
2,142,8459.3
2,148,9797.7
2,149,6763.8
2,151,321.9
2,158,5885.6
2,160,5077.4
2,164,5683.8
2,167,9190.1
2,170,7111.7
2,171,7124.6
2,190,6328.5
2,191,5478.2
2,202,7497.6
2,204,8301.3
2,206,9104.9
2,207,9911.0
2,209,11441.0
2,226,1429.5
2,227,1477.7
2,229,8882.0
2,237,9119.2
2,254,6731.6
2,257,8572.4
2,310,9842.0
2,313,4989.7
2,324,7555.7
3,3,0.0
3,37,3805.2
3,78,3819.7
3,87,295.9
3,116,1043.6
3,125,3238.2
3,136,2363.8
3,170,9884.8
3,171,9897.7
3,193,5270.6
3,243,1795.6
3,244,1782.6
3,314,6781.7
3,315,8598.4
3,316,9194.2
3,317,8585.5
3,318,9181.5
4,2,2525.0
4,4,0.0
4,8,7661.0
4,13,5853.5
4,19,322.6
4,23,10251.9
4,40,10514.7
4,41,5000.7
4,43,8521.4
4,64,11936.8
4,72,4268.7
4,88,9833.8
4,97,5257.2
4,99,9385.2
4,102,6369.2
4,131,8035.0
4,134,9713.8
4,138,10475.2
4,142,9936.0
4,148,7813.3
4,149,9288.6
4,150,9013.9
4,151,2846.7
4,153,6979.0
4,154,7284.8
4,158,778.0
4,160,7602.1
4,164,8208.6
4,165,9496.4
4,166,9625.5
4,167,7205.6
4,170,5131.4
4,171,5144.3
4,186,10176.3
4,190,6588.4
4,191,5738.1
4,192,9597.6
4,197,8712.0
4,198,8698.8
4,201,8400.5
4,202,2390.0
4,203,7925.6
4,204,3193.7
4,205,7127.3
4,206,3997.2
4,207,4803.4
4,209,6333.4
4,218,11175.5
4,226,3954.2
4,227,4002.4
4,254,1711.8
4,257,10049.0
4,265,8884.0
4,266,8516.3
4,267,8561.9
4,313,7514.4
4,319,6563.8
4,324,9032.3
5,5,0.0
5,21,3376.4
5,52,4774.7
5,66,327.1
5,67,7907.4
5,69,6677.4
5,94,8358.9
5,98,5304.8
5,104,2964.1
5,112,7250.4
5,238,9819.8
6,2,6854.3
6,4,4330.0
6,6,0.0
6,8,7027.2
6,13,10182.7
6,16,7949.3
6,19,4651.8
6,20,1143.5
6,41,9329.9
6,43,7887.7
6,50,8188.9
6,58,9553.0
6,72,8598.0
6,88,9200.1
6,97,3287.0
6,99,7414.9
6,102,4398.9
6,131,7415.7
6,136,10009.6
6,142,7464.9
6,148,9415.9
6,149,7318.3
6,151,7175.9
6,158,5107.2
6,160,3507.0
6,164,6238.3
6,167,8808.2
6,170,7363.6
6,171,7376.5
6,190,5954.6
6,191,5104.4
6,202,6719.2
6,204,7522.9
6,206,8326.5
6,207,9132.6
6,209,10662.6
6,226,8283.4
6,227,8331.7
6,229,7887.6
6,237,8708.1
6,243,9441.4
6,244,9428.4
6,254,6041.0
6,257,7578.0
6,266,10118.9
6,267,10164.4
6,310,8847.6
6,313,5544.2
6,324,6561.3
7,5,10418.0
7,7,0.0
7,12,10999.4
7,47,9313.0
7,66,10745.0
7,74,4999.2
7,83,4714.2
7,95,10911.2
7,104,13381.9
7,155,8890.8
7,159,8856.2
7,255,9393.7
8,5,9145.0
8,8,0.0
8,12,8206.3
8,37,8500.6
8,43,862.6
8,66,9471.9
8,74,10173.4
8,78,8515.1
8,83,9888.5
8,88,2175.1
8,95,8118.1
8,104,12108.9
8,125,7933.6
8,136,7059.3
8,155,10332.4
8,159,10297.9
8,184,6184.4
8,185,6197.8
8,193,9966.1
8,229,10320.2
8,243,6491.0
8,244,6478.0
9,2,7746.0
9,4,8983.3
9,9,0.0
9,17,8906.1
9,18,8316.8
9,19,9305.1
9,25,7101.2
9,26,3517.9
9,31,1449.3
9,40,5590.6
9,41,10221.6
9,45,8899.4
9,49,10370.5
9,55,306.0
9,56,7118.6
9,68,7271.7
9,72,9489.7
9,79,8254.6
9,82,3259.3
9,84,9195.4
9,93,9239.8
9,97,9719.7
9,107,7342.8
9,109,9308.1
9,120,10593.4
9,121,1578.6
9,126,7413.4
9,131,4481.0
9,134,11661.1
9,151,8067.6
9,158,9760.5
9,160,10443.9
9,170,10352.4
9,171,10365.2
9,186,5252.2
9,187,8984.3
9,188,9902.3
9,201,10347.8
9,203,9872.8
9,205,9074.6
9,215,9931.3
9,217,6506.7
9,218,6251.4
9,219,853.6
9,220,8017.7
9,221,8214.8
9,222,8775.0
9,226,9175.2
9,227,9223.4
9,247,11362.4
9,248,7838.0
9,251,10218.8
9,254,10005.5
10,10,0.0
10,115,217.9
11,11,0.0
11,20,9983.7
11,48,3937.2
11,60,2000.5
11,91,145.3
11,113,1753.3
11,128,7578.2
11,141,8275.9
11,145,9084.5
11,147,5676.0
11,173,4495.0
11,182,10884.0
11,196,10690.9
11,233,11545.0
11,234,10900.2
11,235,9165.3
11,236,8421.4
11,252,3492.9
11,311,6647.1
12,5,7386.7
12,12,0.0
12,47,6281.7
12,66,7713.6
12,74,1967.8
12,83,1682.8
12,95,7879.8
12,104,10350.6
12,155,5859.4
12,159,5824.8
12,255,6362.3
13,13,0.0
13,153,1134.7
13,154,1440.4
13,202,3463.5
13,204,2659.8
13,206,1856.2
13,207,1050.1
13,209,479.9
13,319,719.4
14,9,10811.8
14,14,0.0
14,45,2388.7
14,55,11117.8
14,80,5307.8
14,84,9171.3
14,93,2729.2
14,109,9284.0
14,146,5662.6
14,195,12882.9
14,219,9958.2
14,221,8190.7
14,248,7813.9
14,251,3708.1
14,300,10513.8
14,302,10948.8
14,303,12158.2
14,305,10255.9
15,7,9876.9
15,15,0.0
15,32,5749.3
15,33,4463.2
15,35,11286.3
15,62,7901.1
15,81,661.3
15,85,3443.0
15,94,7488.6
15,96,7533.0
15,101,9466.1
15,106,8064.9
15,108,5568.4
15,114,2813.1
15,123,4910.0
15,127,6143.2
15,144,1778.8
15,228,7744.3
15,238,8949.4
15,240,3001.2
16,10,4809.6
16,16,0.0
16,46,3515.7
16,50,240.4
16,115,5027.0
17,2,11086.0
17,14,7539.6
17,17,0.0
17,23,4327.8
17,30,6658.4
17,40,12093.9
17,45,9927.4
17,49,1464.4
17,64,6012.7
17,79,11260.9
17,93,10267.8
17,120,1687.3
17,131,10693.3
17,134,9883.8
17,138,4551.1
17,151,11407.6
17,186,11755.5
17,201,8570.5
17,203,8095.6
17,205,7297.3
17,218,12754.7
17,251,11246.8
17,254,10272.7
17,274,7106.0
17,275,7864.2
17,276,11304.6
17,277,12546.9
17,278,8798.0
17,279,9346.1
17,281,10450.8
17,320,5221.3
18,18,0.0
18,24,3167.5
18,56,1198.1
18,57,11231.4
18,90,13025.3
18,111,10343.8
18,126,903.3
18,137,12406.4
18,174,11376.7
18,175,3876.3
18,176,5001.0
18,177,10230.9
18,211,9440.0
18,212,5807.6
18,213,10408.3
18,214,13645.6
18,215,1620.6
19,2,2203.0
19,4,3440.4
19,8,7338.9
19,13,5531.4
19,19,0.0
19,23,9929.9
19,40,10192.7
19,41,4678.6
19,43,8199.4
19,58,11201.2
19,64,11614.8
19,72,3946.7
19,88,9511.8
19,97,4935.2
19,99,9063.2
19,102,6047.2
19,131,7713.0
19,134,9391.8
19,138,10153.2
19,142,9614.0
19,148,7491.3
19,149,8966.6
19,150,8691.9
19,151,2524.6
19,153,6657.0
19,154,6962.8
19,158,456.0
19,160,7280.1
19,164,7886.6
19,165,9174.4
19,166,9303.4
19,167,6883.6
19,170,4809.4
19,171,4822.3
19,186,9854.2
19,190,6266.3
19,191,5416.1
19,192,9275.6
19,197,8390.0
19,198,8376.8
19,201,8078.5
19,202,2068.0
19,203,7603.6
19,204,2871.7
19,205,6805.3
19,206,3675.2
19,207,4481.3
19,209,6011.4
19,218,10853.5
19,226,3632.2
19,227,3680.4
19,229,10036.6
19,254,1389.8
19,257,9727.0
19,265,8562.0
19,266,8194.3
19,267,8239.9
19,313,7192.4
19,319,6241.7
19,324,8710.3
20,2,5711.5
20,4,3187.3
20,8,6510.3
20,13,9039.9
20,16,8957.1
20,19,3509.0
20,20,0.0
20,41,8187.1
20,43,7370.7
20,50,9196.7
20,58,9595.3
20,72,7455.2
20,88,8683.2
20,97,3329.3
20,99,7457.2
20,102,4441.2
20,131,6273.0
20,136,10111.9
20,142,7568.5
20,148,8906.9
20,149,7360.6
20,150,10209.6
20,151,6033.1
20,153,10165.5
20,154,10471.3
20,158,3964.5
20,160,2364.2
20,164,6280.6
20,167,8299.3
20,170,6220.9
20,171,6233.8
20,190,5437.7
20,191,4587.4
20,202,5576.5
20,204,6380.2
20,205,10313.8
20,206,7183.7
20,207,7989.8
20,209,9519.9
20,226,7140.7
20,227,7188.9
20,229,7991.2
20,237,9715.9
20,243,9543.7
20,244,9530.7
20,254,4898.3
20,257,7681.6
20,265,9977.7
20,266,9610.0
20,267,9655.5
20,310,8951.2
20,313,5586.5
20,319,9750.2
20,324,6664.9
21,21,0.0
21,29,12878.6
21,35,8787.8
21,52,1398.2
21,67,4538.6
21,69,3308.6
21,71,12250.5
21,94,4990.1
21,98,1928.4
21,112,3881.6
21,129,9444.5
21,143,11218.8
21,238,6450.9
21,239,15936.9
22,22,0.0
22,75,4107.7
22,84,10185.1
22,109,10297.8
22,133,9394.3
22,195,7796.2
22,221,9204.6
22,248,8827.7
22,250,7985.7
22,287,3513.9
22,299,4621.8
22,300,5427.1
22,302,5862.1
22,303,7071.4
22,304,8384.1
22,305,5169.2
22,307,9147.2
22,308,9932.2
22,309,3414.6
23,14,3217.3
23,23,0.0
23,30,2336.0
23,45,5605.0
23,64,1684.9
23,80,8524.2
23,84,12387.6
23,93,5945.5
23,109,12500.3
23,138,223.3
23,146,8878.9
23,221,11407.0
23,248,11030.2
23,251,6924.5
24,24,0.0
24,57,8067.5
24,90,9861.4
24,110,10243.5
24,111,7179.8
24,130,10663.5
24,132,12474.0
24,137,9242.5
24,150,9147.9
24,165,8457.5
24,166,8586.5
24,168,10985.7
24,174,8212.8
24,175,708.7
24,176,1837.0
24,177,7066.9
24,211,6276.1
24,212,2643.7
24,213,7244.4
24,214,10481.7
24,230,9761.2
24,253,13327.2
25,9,8919.8
25,22,9956.3
25,25,0.0
25,26,12434.1
25,31,10365.5
25,55,9225.8
25,80,7672.0
25,82,12175.5
25,84,7279.3
25,107,241.6
25,109,7392.0
25,121,10494.8
25,133,10582.2
25,146,8026.7
25,156,7830.1
25,157,6442.0
25,183,7058.2
25,187,1884.7
25,188,2802.7
25,189,5127.8
25,219,8066.2
25,220,918.0
25,221,6298.7
25,222,1675.3
25,224,5581.7
25,247,4262.7
25,248,5921.9
25,250,9173.5
25,287,8670.3
25,309,9961.9
26,2,4235.4
26,4,5472.8
26,8,9703.0
